Time(s),DopplerOffset(Hz)
69,-7787.201171875
70,-8111.80322265625
71,-8438.234375
72,-8763.048828125
73,-9084.9296875
74,-9408.421875
75,-9729.03515625
76,-10045.9365234375
77,-10364.5009765625
78,-10682.69140625
79,-11001.1015625
80,-11314.6494140625
81,-11627.80078125
82,-11942.48046875
83,-12255.41796875
84,-12564.4521484375
85,-12873.068359375
86,-13180.9501953125
87,-13487.0986328125
88,-13792.251953125
89,-14094.19140625
90,-14396.8974609375
91,-14698.6494140625
92,-14997.626953125
93,-15296.4921875
94,-15592.2705078125
95,-15886.3818359375
96,-16179.37109375
97,-16470.412109375
98,-16760.751953125
99,-17051.037109375
100,-17336.771484375
101,-17621.177734375
102,-17903.95703125
103,-18184.93359375
104,-18465.76171875
105,-18743.21484375
106,-19019.970703125
107,-19294.97265625
108,-19567.708984375
109,-19837.708984375
110,-20107.212890625
111,-20376.580078125
112,-20643.716796875
113,-20906.7265625
114,-21169.125
115,-21429.943359375
116,-21687.724609375
117,-21945.36328125
118,-22199.310546875
119,-22452.44140625
120,-22704.55078125
121,-22953.611328125
122,-23201.779296875
123,-23448.419921875
124,-23692.982421875
125,-23934.259765625
126,-24173.099609375
127,-24412.318359375
128,-24648.841796875
129,-24884.0390625
130,-25118.29296875
131,-25350.181640625
132,-25579.34375
133,-25807.302734375
134,-26032.841796875
135,-26255.28125
136,-26477.72265625
137,-26698.314453125
138,-26916.740234375
139,-27133.951171875
140,-27349.017578125
141,-27562.78515625
142,-27772.759765625
143,-27981.75
144,-28189.046875
145,-28395.1796875
146,-28609.30859375
147,-28801.2421875
148,-29001.642578125
149,-29200.79296875
150,-29397.61328125
151,-29593.494140625
152,-29787.9765625
153,-29979.271484375
154,-30168.349609375
155,-30357.373046875
156,-30544.224609375
157,-30729.359375
158,-30913.98828125
159,-31096.18359375
160,-31274.884765625
161,-31453.33203125
162,-31629.689453125
163,-31804.19140625
164,-31977.248046875
165,-32149.30859375
166,-32319.615234375
167,-32488.212890625
168,-32654.44140625
169,-32821.28515625
170,-32986.08203125
171,-33148.0234375
172,-33309.31640625
173,-33468.15234375
174,-33626.5625
175,-33783.3515625
176,-33938.54296875
177,-34092.01953125
178,-34243.921875
179,-34393.9375
180,-34544.22265625
181,-34692.1796875
182,-34838.18359375
183,-34982.04296875
184,-35125.96875
185,-35268.94921875
186,-35410.59375
187,-35549.51171875
188,-35688.6484375
189,-35825.3828125
190,-35960.38671875
191,-36094.33984375
192,-36227.28125
193,-36358.7421875
194,-36488.01953125
195,-36616.8984375
196,-36744.46484375
197,-36872.0234375
198,-36997.15234375
199,-37121.2578125
200,-37243.9921875
201,-37365.81640625
202,-37486.08203125
203,-37605.453125
204,-37724.04296875
205,-37840.48828125
206,-37955.80859375
207,-38070.828125
208,-38184.0703125
209,-38295.7109375
210,-38407.8671875
211,-38518.2421875
212,-38627.49609375
213,-38734.66796875
214,-38841.2578125
215,-38947.98046875
216,-39052.953125
217,-39155.953125
218,-39259.44140625
219,-39360.9296875
220,-39461.53125
221,-39562.4453125
222,-39661.01953125
223,-39758.875
224,-39856.36328125
225,-39952.90234375
226,-40047.875
227,-40141.765625
228,-40234.85546875
229,-40326.66015625
230,-40418.58203125
231,-40509.1875
232,-40598.93359375
233,-40687.4140625
234,-40775.6015625
235,-40861.68359375
236,-40947.1875
237,-41033.359375
238,-41117.8359375
239,-41201.75
240,-41284.34765625
241,-41366.1953125
242,-41446.86328125
243,-41527.97265625
244,-41607.5703125
245,-41686.5390625
246,-41764.74609375
247,-41842.046875
248,-41918.4609375
249,-41994.125
250,-42069.0546875
251,-42143.03515625
252,-42216.828125
253,-42289.44140625
254,-42362.19921875
255,-42434.046875
256,-42863.83984375
257,-41773.5390625
258,-40827.63671875
259,-42270.73046875
260,-42773.87109375
261,-42848.20703125
262,-42914.89453125
263,-42981.33984375
264,-43159.45703125
265,-42927.80859375
266,-42436.20703125
267,-41856.8984375
268,-41455.875
269,-41402.515625
270,-42908.4609375
271,-43485.7578125
272,-43547.37109375
273,-43606.7734375
274,-43666.37890625
275,-43569.45703125
276,-43643.6640625
277,-43839.9375
278,-43480.83203125
279,-43677.77734375
280,-44014.3515625
281,-44066.359375
282,-44120.44140625
283,-44176.40234375
284,-44233.7421875
285,-44617.90625
286,-44988.17578125
287,-45355.7265625
288,-45130.453125
289,-44534.7421875
290,-44542.48828125
